"order_item","seasons","total_orders"
"Apple Pie","Summer","1"
"Bacon","Summer","1"
"Brownie","Summer","1"
"Burger","Summer","1"
"Burrito","Summer","1"
"Cereal","Summer","1"
"Cheese","Winter","1"
"Chicken Wings","Summer","1"
"Chips","Summer","1"
"Chocolate Cake","Summer","1"
"Cookies","Summer","1"
"Crackers","Winter","1"
"Croissant","Summer","1"
"Donut","Summer","1"
"Eggs","Summer","1"
"Fries","Summer","1"
"Fruit Salad","Summer","1"
"Guacamole","Winter","1"
"Hot Dog","Summer","1"
"Hummus","Winter","1"
"Ice Cream","Summer","1"
"Jelly","Winter","1"
"Muffin","Summer","1"
"Noodles","Summer","1"
"Olives","Winter","1"
"Omelette","Summer","1"
"organe juice","Winter","1"
"Pancakes","Summer","1"
"Pasta","Summer","1"
"Peanut Butter","Winter","1"
"Pizza","Summer","1"
"Popcorn","Summer","1"
"Pretzels","Summer","1"
"Quesadilla","Summer","1"
"Rice","Summer","1"
"Salad","Summer","1"
"Salmon","Summer","1"
"Salsa","Winter","1"
"Sandwich","Summer","1"
"Shrimp","Summer","1"
"Soup","Summer","1"
"Steak","Summer","1"
"Sushi","Summer","1"
"Taco","Summer","1"
"Toast","Summer","1"
"Tuna Salad","Summer","1"
"Vegetable Stir-fry","Summer","1"
"Waffles","Summer","1"
"Yogurt","Summer","1"
